NMB, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultsPerSecond
       1,   8,    131072,     1.699
       2,   8,    262144,     2.159
       4,   8,    524288,     2.461
       8,   8,   1048576,     2.697
       1,  16,     65536,     2.238
       2,  16,    131072,     3.446
       4,  16,    262144,     3.724
       8,  16,    524288,     4.886
       1,  32,     32768,     3.210
       2,  32,     65536,     4.204
       4,  32,    131072,     5.747
       8,  32,    262144,     7.390
       1,  64,     16384,     2.802
       2,  64,     32768,     4.807
       4,  64,     65536,     7.312
       8,  64,    131072,    10.229
       1, 128,      8192,     3.157
       2, 128,     16384,     5.701
       4, 128,     32768,     7.352
       8, 128,     65536,    11.628
       1, 256,      4096,     2.946
       2, 256,      8192,     5.166
       4, 256,     16384,     7.555
       8, 256,     32768,    11.119
       1, 512,      2048,     3.254
       2, 512,      4096,     4.503
       4, 512,      8192,     6.754
       8, 512,     16384,    11.791
