NUM_ELEMENTS, LOCAL_SIZE, GigaMultsPerSecond
 1048576,   8,     1.632
 2097152,   8,     2.088
 4194304,   8,     2.413
 8388608,   8,     0.556
 1048576,  16,     2.496
 2097152,  16,     2.720
 4194304,  16,     4.065
 8388608,  16,     4.719
 1048576,  32,     2.954
 2097152,  32,     4.113
 4194304,  32,     3.102
 8388608,  32,     7.389
 1048576,  64,     2.755
 2097152,  64,     4.756
 4194304,  64,     7.728
 8388608,  64,     9.295
 1048576, 128,     3.752
 2097152, 128,     4.865
 4194304, 128,     6.979
 8388608, 128,    11.900
 1048576, 256,     2.729
 2097152, 256,     5.654
 4194304, 256,     9.313
 8388608, 256,    10.522
 1048576, 512,     2.919
 2097152, 512,     6.663
 4194304, 512,     8.236
 8388608, 512,    10.986
